cast_size,cast_unique_names_count,cast_id_entropy,cast_character_name_length_avg,cast_character_name_token_count_avg,genre_count,is_multigenre,runtime_minutes,number_of_episodes,tv_show_name,season,episode_number,imdbID,rating,votes
1.0,1.0,0.0,15.0,2.0,3.0,1.0,47.0,88.0,16 and Pregnant,1,1,1460665,7.4,41
2.0,2.0,1.0,13.0,2.0,3.0,1.0,46.0,88.0,16 and Pregnant,1,3,1466079,5.6,22
3.0,3.0,1.584962500721156,13.333333333333334,2.3333333333333335,3.0,1.0,45.0,88.0,16 and Pregnant,1,4,1466080,6.0,21
2.0,2.0,1.0,12.5,2.0,3.0,1.0,43.0,88.0,16 and Pregnant,2,1,1600215,6.3,24
1.0,1.0,0.0,19.0,2.0,3.0,1.0,42.0,88.0,16 and Pregnant,3,3,1912533,5.4,7
3.0,3.0,1.584962500721156,14.666666666666666,2.3333333333333335,3.0,1.0,41.0,88.0,16 and Pregnant,4,1,1975334,6.7,8
91.0,91.0,6.507794640198697,13.868131868131869,2.197802197802198,3.0,1.0,67.0,10.0,1883,1,1,14103574,8.5,5880
60.0,60.0,5.906890595608517,13.483333333333333,2.183333333333333,3.0,1.0,60.0,10.0,1883,1,2,15294862,8.7,5156
43.0,43.0,5.426264754702098,13.209302325581396,2.13953488372093,3.0,1.0,44.0,10.0,1883,1,3,15294860,8.2,4416
43.0,43.0,5.426264754702098,13.883720930232558,2.2093023255813953,3.0,1.0,55.0,10.0,1883,1,4,15294864,8.2,4402
41.0,41.0,5.357552004618084,13.878048780487806,2.1951219512195124,3.0,1.0,56.0,10.0,1883,1,5,15294870,9.0,5022
35.0,35.0,5.129283016944966,13.8,2.2,3.0,1.0,51.0,10.0,1883,1,6,15294866,8.1,4019
28.0,28.0,4.807354922057605,14.357142857142858,2.1785714285714284,3.0,1.0,53.0,10.0,1883,1,7,15294868,8.6,4456
34.0,34.0,5.087462841250341,14.529411764705882,2.176470588235294,3.0,1.0,55.0,10.0,1883,1,8,15294874,7.6,4187
23.0,23.0,4.523561956057013,14.521739130434783,2.3043478260869565,3.0,1.0,56.0,10.0,1883,1,9,15294872,9.1,4597
28.0,28.0,4.807354922057605,13.285714285714286,2.1785714285714284,0.0,0.0,65.0,10.0,1883,1,10,15294876,9.0,4655
25.0,25.0,4.643856189774724,14.28,2.12,3.0,1.0,43.0,245.0,19 Kids and Counting,15,1,4444168,5.4,11
28.0,28.0,4.807354922057605,14.571428571428571,2.142857142857143,3.0,1.0,21.0,245.0,19 Kids and Counting,15,2,4484498,5.4,13
14.0,14.0,3.8073549220576037,15.5,2.2857142857142856,3.0,1.0,22.0,245.0,19 Kids and Counting,15,3,4446774,5.8,10
21.0,21.0,4.392317422778759,13.952380952380953,2.142857142857143,3.0,1.0,21.0,245.0,19 Kids and Counting,1,1,1319202,4.6,21
24.0,24.0,4.584962500721156,13.625,2.125,3.0,1.0,21.0,245.0,19 Kids and Counting,1,2,1319206,3.4,18
25.0,25.0,4.643856189774724,13.96,2.12,3.0,1.0,21.0,245.0,19 Kids and Counting,1,3,1319208,4.3,14
29.0,29.0,4.857980995127571,13.827586206896552,2.1379310344827585,3.0,1.0,21.0,245.0,19 Kids and Counting,1,4,1319205,3.0,11
38.0,38.0,5.247927513443587,12.947368421052632,2.1052631578947367,3.0,1.0,21.0,245.0,19 Kids and Counting,1,5,1319210,4.0,15
40.0,40.0,5.321928094887363,12.9,2.1,3.0,1.0,21.0,245.0,19 Kids and Counting,1,6,1319201,3.0,15
20.0,20.0,4.321928094887362,14.1,2.15,3.0,1.0,21.0,245.0,19 Kids and Counting,1,7,1319204,3.0,11
20.0,20.0,4.321928094887362,14.1,2.15,3.0,1.0,21.0,245.0,19 Kids and Counting,1,8,1319209,3.8,11
22.0,22.0,4.459431618637297,13.636363636363637,2.1363636363636362,3.0,1.0,21.0,245.0,19 Kids and Counting,1,9,1319203,2.8,15
22.0,22.0,4.459431618637297,13.909090909090908,2.1363636363636362,3.0,1.0,21.0,245.0,19 Kids and Counting,1,10,1319207,3.0,11
23.0,23.0,4.523561956057013,14.0,2.1739130434782608,3.0,1.0,21.0,245.0,19 Kids and Counting,2,2,1367477,3.2,10
19.0,19.0,4.247927513443585,14.157894736842104,2.1578947368421053,3.0,1.0,21.0,245.0,19 Kids and Counting,2,3,1367476,3.2,10
22.0,22.0,4.459431618637297,13.818181818181818,2.1363636363636362,3.0,1.0,21.0,245.0,19 Kids and Counting,2,4,1482475,3.0,10
21.0,21.0,4.392317422778759,14.571428571428571,2.1904761904761907,3.0,1.0,20.0,245.0,19 Kids and Counting,2,7,1482481,3.0,10
43.0,43.0,5.426264754702098,13.255813953488373,2.13953488372093,3.0,1.0,22.0,245.0,19 Kids and Counting,2,9,1482480,3.0,10
43.0,43.0,5.426264754702098,13.186046511627907,2.116279069767442,3.0,1.0,21.0,245.0,19 Kids and Counting,2,10,1482470,3.0,10
22.0,22.0,4.459431618637297,14.5,2.1818181818181817,3.0,1.0,22.0,245.0,19 Kids and Counting,2,11,1482483,2.7,14
9.0,9.0,3.1699250014423126,12.88888888888889,2.2222222222222223,3.0,1.0,22.0,245.0,19 Kids and Counting,2,12,1482478,3.0,9
24.0,24.0,4.584962500721156,14.458333333333334,2.2083333333333335,3.0,1.0,22.0,245.0,19 Kids and Counting,2,13,1482474,3.2,9
23.0,23.0,4.523561956057013,14.565217391304348,2.217391304347826,3.0,1.0,22.0,245.0,19 Kids and Counting,2,14,1482469,3.0,9
20.0,20.0,4.321928094887362,14.75,2.2,3.0,1.0,22.0,245.0,19 Kids and Counting,2,15,1482471,4.2,13
42.0,42.0,5.39231742277876,13.119047619047619,2.119047619047619,3.0,1.0,22.0,245.0,19 Kids and Counting,2,16,1482467,3.0,9
21.0,21.0,4.392317422778759,14.571428571428571,2.1904761904761907,3.0,1.0,22.0,245.0,19 Kids and Counting,2,17,1482477,3.0,9
23.0,23.0,4.523561956057013,12.956521739130435,2.0,3.0,1.0,0.0,13.0,4400,1,1,14403052,5.7,386
18.0,18.0,4.169925001442313,13.38888888888889,2.0555555555555554,3.0,1.0,0.0,13.0,4400,1,2,15402702,5.8,260
28.0,28.0,4.807354922057605,13.892857142857142,2.1785714285714284,3.0,1.0,0.0,13.0,4400,1,4,15408150,6.2,154
27.0,27.0,4.754887502163469,14.148148148148149,2.259259259259259,3.0,1.0,0.0,13.0,4400,1,5,15574992,6.4,139
28.0,28.0,4.807354922057605,13.178571428571429,2.107142857142857,3.0,1.0,0.0,13.0,4400,1,6,15545454,6.1,136
27.0,27.0,4.754887502163469,13.222222222222221,2.074074074074074,3.0,1.0,0.0,13.0,4400,1,7,16420742,6.4,104
21.0,21.0,4.392317422778759,12.476190476190476,2.0,3.0,1.0,0.0,13.0,4400,1,9,17069020,6.7,93
21.0,21.0,4.392317422778759,13.476190476190476,2.0476190476190474,3.0,1.0,0.0,13.0,4400,1,10,17338812,6.8,91
31.0,31.0,4.954196310386876,13.129032258064516,2.064516129032258,3.0,1.0,0.0,13.0,4400,1,11,17521150,5.7,106
12.0,12.0,3.584962500721157,11.25,2.0833333333333335,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,1,10061900,3.5,206
5.0,5.0,2.3219280948873626,14.6,2.6,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,3,10970670,3.4,163
3.0,3.0,1.584962500721156,14.0,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,4,10970672,3.4,163
4.0,4.0,2.0,15.5,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,5,10990748,3.6,139
5.0,5.0,2.3219280948873626,13.6,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,6,10990750,3.6,138
2.0,2.0,1.0,10.5,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,7,10990752,3.7,136
3.0,3.0,1.584962500721156,12.666666666666666,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,8,10990754,3.5,133
3.0,3.0,1.584962500721156,12.333333333333334,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,9,10970666,4.1,143
4.0,4.0,2.0,13.25,2.25,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,10,10970674,4.0,136
2.0,2.0,1.0,12.5,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,11,10990744,3.8,132
2.0,2.0,1.0,13.0,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,12,10990746,3.7,132
3.0,3.0,1.584962500721156,13.666666666666666,2.3333333333333335,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,13,11064200,3.1,105
2.0,2.0,1.0,13.0,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,14,11064202,3.4,116
4.0,4.0,2.0,10.0,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,15,11064204,3.3,112
13.0,13.0,3.700439718141093,12.23076923076923,2.076923076923077,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,16,11064206,3.3,110
3.0,3.0,1.584962500721156,13.333333333333334,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,17,11109960,3.1,98
4.0,4.0,2.0,11.5,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,18,11109964,3.3,100
5.0,5.0,2.3219280948873626,11.8,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,20,11253224,2.7,76
4.0,4.0,2.0,10.75,1.75,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,29,11253214,2.2,62
4.0,4.0,2.0,10.25,1.75,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,30,11253216,2.8,63
8.0,8.0,3.0,13.75,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,31,11373174,2.5,60
2.0,2.0,1.0,12.0,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,32,11373176,1.9,60
2.0,2.0,1.0,13.0,2.5,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,33,11373178,2.6,60
2.0,2.0,1.0,13.5,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,34,11373180,2.3,59
6.0,6.0,2.584962500721156,12.833333333333334,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,35,11373182,2.7,56
3.0,3.0,1.584962500721156,12.333333333333334,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,36,11373184,2.7,56
8.0,8.0,3.0,14.875,2.25,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,37,11546952,2.5,53
2.0,2.0,1.0,11.5,2.5,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,38,11564610,2.2,53
3.0,3.0,1.584962500721156,12.666666666666666,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,39,11564616,2.4,53
3.0,3.0,1.584962500721156,13.0,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,40,11586220,2.6,47
3.0,3.0,1.584962500721156,11.333333333333334,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,41,11586222,2.6,51
3.0,3.0,1.584962500721156,12.666666666666666,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,42,11586224,2.9,48
2.0,2.0,1.0,8.5,1.5,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,44,11629766,2.0,41
6.0,6.0,2.584962500721156,15.333333333333334,2.1666666666666665,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,45,11629768,2.0,45
2.0,2.0,1.0,13.5,2.0,3.0,1.0,0.0,177.0,A Little Late with Lilly Singh,1,46,11629772,1.9,43
